generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
9,23,200,123,deletion,5,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
9,23,410,351,death,1,36.00000000000057,1.0007572155546214,1.849298953609787,exact_hop
9,23,78,0,explore,4,35.99999999999977,1.0043596572358107,2.356044308783022,off_manifold_hop
10,23,419,379,genericity,1,34.999999999999886,1.008713393643519,2.4735574472430812,exact_hop
10,23,200,123,deletion,6,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
10,23,410,351,death,2,36.00000000000057,1.0007572155546214,1.8492989536097877,exact_hop
11,23,465,419,genericity,1,34.99999999999966,1.007661759461078,2.974042276223973,exact_hop
11,23,200,123,deletion,7,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
11,23,410,351,death,3,36.00000000000057,1.0007572155546214,1.8492989536097861,exact_hop
12,23,500,465,genericity,1,34.999999999999545,1.0069999784857013,2.9951011290406098,off_manifold_hop
12,23,200,123,deletion,8,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
12,23,410,351,death,4,36.00000000000068,1.0007572155546214,1.8492989536097872,exact_hop
12,23,78,0,explore,5,35.99999999999977,1.0043596572358107,2.356044308783024,off_manifold_hop
13,23,528,500,genericity,1,35.00000000000023,1.0045368777288275,2.612729732025213,wall:amplitude_wall
13,23,200,123,deletion,9,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
13,23,410,351,death,5,36.00000000000057,1.0007572155546214,1.8492989536097861,exact_hop
14,23,573,528,genericity,1,34.99999999999977,1.0144278848128372,2.613903963780945,exact_hop
14,23,200,123,deletion,10,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
14,23,410,351,death,6,36.00000000000068,1.0007572155546214,1.8492989536097872,exact_hop
15,23,612,573,genericity,1,34.99999999999966,1.0005430271325735,2.1072774463652277,exact_hop
15,23,200,123,deletion,11,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
15,23,410,351,death,7,36.00000000000057,1.0007572155546214,1.8492989536097866,exact_hop
15,23,567,78,explore,1,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
16,23,612,573,genericity,2,34.999999999999545,1.0005430271325735,2.107277446365226,exact_hop
16,23,200,123,deletion,12,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
16,23,673,410,death,1,35.999999999999545,1.0009076586476693,1.8461860224152364,exact_hop
17,23,699,612,genericity,1,34.99999999999966,1.0008312940479922,2.1764475657279667,exact_hop
17,23,200,123,deletion,13,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
17,23,673,410,death,2,35.999999999999545,1.0009076586476693,1.8461860224152375,exact_hop
18,23,737,699,genericity,1,34.99999999999966,1.0022121999085873,2.408765974371939,exact_hop
18,23,200,123,deletion,14,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
18,23,673,410,death,3,35.999999999999545,1.0009076586476693,1.8461860224152358,exact_hop
18,23,567,78,explore,2,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
19,23,773,737,genericity,1,34.999999999999545,1.0046611969640444,2.2945625991915475,off_manifold_hop
19,23,200,123,deletion,15,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
19,23,673,410,death,4,35.999999999999545,1.0009076586476693,1.8461860224152367,exact_hop
20,23,818,773,genericity,1,34.99999999999841,1.00147737197213,2.2333072605024404,exact_hop
20,23,200,123,deletion,16,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
20,23,844,673,death,1,35.999999999999545,1.0013549706976042,1.8324517015349564,exact_hop
21,23,818,773,genericity,2,34.99999999999818,1.00147737197213,2.2333072605024364,exact_hop
21,23,200,123,deletion,17,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
21,23,844,673,death,2,35.999999999999545,1.0013549706976042,1.832451701534953,exact_hop
21,23,567,78,explore,3,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
22,23,818,773,genericity,3,34.999999999998295,1.00147737197213,2.2333072605024347,exact_hop
22,23,200,123,deletion,18,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
22,23,844,673,death,3,35.999999999999545,1.0013549706976042,1.8324517015349586,exact_hop
23,23,920,818,genericity,1,34.99999999999943,1.0021782323722763,3.014794614289366,off_manifold_hop
23,23,200,123,deletion,19,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
23,23,844,673,death,4,35.999999999999545,1.0013549706976042,1.832451701534958,exact_hop
24,23,951,920,genericity,1,34.999999999999545,1.0015608909755045,2.598866724589641,exact_hop
24,23,970,200,deletion,1,35.99999999999966,0.6035945595265015,2.481578119986594,off_manifold_hop
24,23,844,673,death,5,35.999999999999545,1.0013549706976042,1.832451701534958,exact_hop
